county,Cumm_pop_2020,Cumm_pop_2021,Cumm_pop_2022,Cumm_pop_2023
Alameda County,1680614,1643856,1635693,1638142
Alpine County,1179,1203,1169,1126
Amador County,40584,41245,41486,41798
Butte County,210222,206351,207384,207354
Calaveras County,45350,46262,46544,46580
Colusa County,21868,21931,21952,22093
Contra Costa County,1166165,1163813,1160296,1162179
Del Norte County,27616,27581,26758,26571
El Dorado County,191250,193724,193071,192440
Fresno County,1009613,1012879,1017107,1019899
Glenn County,28889,28714,28371,28190
Humboldt County,136324,134978,135013,134009
Imperial County,179730,179206,179767,180585
Inyo County,18999,18920,18745,18548
Kern County,906124,912782,917293,916646
Kings County,152797,152724,152776,153281
Lake County,68200,68623,68239,67934
Lassen County,32319,31884,30401,28838
Los Angeles County,9996634,9809239,9748447,9731837
Madera County,156434,159019,160414,163402
Marin County,261341,259254,257143,255706
Mariposa County,17133,17136,17095,16996
Mendocino County,91362,91303,90027,89354
Merced County,282963,284834,292034,294402
Modoc County,8677,8640,8625,8566
Mono County,13225,13263,13055,13207
Monterey County,440506,439245,436427,435637
Napa County,137465,136219,134492,133444
Nevada County,102267,103499,102356,102086
Orange County,3186261,3159351,3158489,3154563
Placer County,405951,412968,418439,424599
Plumas County,19761,19965,19433,19120
Riverside County,2424663,2455225,2479628,2503549
Sacramento County,1586727,1588824,1588743,1594506
San Benito County,64533,66703,67715,68341
San Bernardino County,2183526,2190877,2196029,2200805
San Diego County,3301182,3274244,3283755,3285890
San Francisco County,874826,815498,814176,819151
San Joaquin County,780676,788096,795880,805909
San Luis Obispo County,281924,279468,282535,282007
San Mateo County,762727,739330,732485,734267
Santa Barbara County,448083,437117,445286,443521
Santa Clara County,1924802,1878320,1883653,1897137
Santa Cruz County,271768,260904,265851,263699
Shasta County,182190,182243,180972,180656
Sierra County,3229,3298,3215,3180
Siskiyou County,43999,44144,43746,42941
Solano County,452887,450819,449724,451060
Sonoma County,488501,484561,483398,483366
Stanislaus County,553710,552939,552410,553921
Sutter County,99479,99121,98682,98457
Tehama County,65690,65467,65269,64959
Trinity County,16095,16102,15777,15684
Tulare County,473944,476939,478288,480747
Tuolumne County,55397,55126,53951,54123
Ventura County,843808,840009,835032,833071
Yolo County,217768,213545,223338,222919
Yuba County,82001,83035,84335,85695
