COUNTY,svi,ses,hhc,rems,htt
Alameda,0.2807,0.1053,0.0702,0.8596,0.8772
Alpine,0.3509,0.3509,0.5263,0.4912,0.193
Amador,0.2281,0.193,0.1579,0.1754,0.6667
Butte,0.5965,0.5965,0.4386,0.2456,0.8596
Calaveras,0.1053,0.4211,0.3509,0.0526,0
Colusa,0.5789,0.5263,0.9825,0.7368,0.1053
Contra Costa,0.1754,0.1228,0.4912,0.6316,0.1228
Del Norte,0.7719,0.5789,0.6842,0.4035,0.9649
El Dorado,0.0175,0.0702,0.1228,0.1404,0.0702
Fresno,0.9649,0.9298,0.8947,0.9123,0.7719
Glenn,0.6667,0.6842,0.9649,0.5088,0.1404
Humboldt,0.6842,0.8596,0.4035,0.2105,0.7193
Imperial,1,0.9825,1,1,1
Inyo,0.2456,0.1579,0.3333,0.4035,0.5088
Kern,0.9474,0.9649,0.7544,0.807,0.9123
Kings,0.8596,0.807,0.807,0.8246,0.7368
Lake,0.6316,0.8246,0.7895,0.2807,0.2632
Lassen,0.2982,0.2982,0.2281,0.3333,0.5614
Los Angeles,0.8772,0.8772,0.4561,0.9825,0.9474
Madera,0.9123,0.9123,0.9298,0.7719,0.614
Marin,0.0526,0,0.1404,0.2632,0.1754
Mariposa,0.5614,0.5614,0.7719,0.1228,0.5088
Mendocino,0.8947,0.8947,0.8421,0.3684,0.7895
Merced,0.9825,0.9474,0.9474,0.9649,0.807
Modoc,0.5088,0.6316,0.5789,0.1579,0.193
Mono,0.1579,0.3158,0,0.3333,0.3684
Monterey,0.8246,0.7193,0.5614,0.8947,0.8421
Napa,0.3684,0.2105,0.3684,0.4737,0.6842
Nevada,0.0351,0.1754,0.193,0.0175,0.0351
Orange,0.4211,0.3333,0.3158,0.6667,0.4386
Placer,0,0.0175,0.2456,0.2281,0.0175
Plumas,0.0877,0.1404,0.2632,0.0351,0.1579
Riverside,0.6491,0.7368,0.5965,0.7544,0.4035
Sacramento,0.5439,0.4912,0.6316,0.614,0.4211
San Benito,0.3158,0.4737,0.3684,0.7719,0.0877
San Bernardino,0.8421,0.8421,0.614,0.9474,0.6842
San Diego,0.5263,0.5088,0.1754,0.5614,0.7544
San Francisco,0.2632,0.0877,0.0175,0.6667,0.8947
San Joaquin,0.7895,0.6667,0.7368,0.8421,0.5965
San Luis Obispo,0.1228,0.2632,0.0526,0.2982,0.3333
San Mateo,0.0702,0.0351,0.0351,0.7018,0.3509
Santa Barbara,0.807,0.614,0.5439,0.5965,0.9825
Santa Clara,0.2105,0.0526,0.0877,0.8596,0.6491
Santa Cruz,0.4035,0.2807,0.193,0.4386,0.8246
Shasta,0.4737,0.4561,0.6667,0.1053,0.4737
Sierra,0.1404,0.3684,0.4737,0,0.0526
Siskiyou,0.4561,0.5263,0.4211,0.193,0.2456
Solano,0.386,0.2456,0.6316,0.7193,0.3158
Sonoma,0.193,0.2105,0.2632,0.386,0.2807
Stanislaus,0.7193,0.7368,0.8246,0.6491,0.2982
Sutter,0.7018,0.6316,0.8596,0.5439,0.386
Tehama,0.7544,0.7895,0.8596,0.3158,0.4912
Trinity,0.614,0.7719,0.7193,0.0526,0.5789
Tulare,0.9298,1,0.8947,0.9298,0.4561
Tuolumne,0.3333,0.4386,0.2982,0.0877,0.5439
Ventura,0.4386,0.4035,0.4912,0.5614,0.2281
Yolo,0.4912,0.3684,0.1053,0.5263,0.9123
Yuba,0.7368,0.7018,0.7018,0.4561,0.614
